TID	TIME	L2_REFS	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L2_PF_HITS	L2_PF_MISSES
0	1577231442139173	2455	2296	0	3	3	2293	0	0
0	1577231442139373	2477	1188	0	2	2	1188	0	0
0	1577231442139522	2207	645	1	0	0	645	0	0
0	1577231442139668	2141	9	0	0	0	9	0	0
0	1577231442139814	2192	12	0	1	1	12	0	0
0	1577231442140103	2167	18	0	0	0	18	0	0
0	1577231442140249	2139	22	0	0	0	22	0	0
0	1577231442140395	2131	16	0	0	0	16	0	0
0	1577231442140540	2201	23	0	3	3	23	0	0
0	1577231442140687	2140	23	0	0	0	23	0	0
1	1577231442140850	2434	2303	0	11	11	2299	0	0
1	1577231442141031	2339	616	0	0	0	616	0	0
1	1577231442141179	2206	74	1	0	0	74	0	0
1	1577231442141326	2159	31	0	0	0	31	0	0
1	1577231442141471	2186	33	0	1	1	33	0	0
1	1577231442141760	2149	33	0	0	0	33	0	0
1	1577231442141906	2130	30	0	0	0	30	0	0
1	1577231442142051	2127	28	0	0	0	28	0	0
1	1577231442142197	2186	37	0	3	3	37	0	0
1	1577231442142343	2137	31	0	0	0	31	0	0
