TID	TIME	L2_REFS	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L2_PF_HITS	L2_PF_MISSES
0	1578974850079356	2084	2043	0	0	0	2040	0	0
0	1578974850079538	2067	834	0	0	0	834	0	0
0	1578974850079683	2062	52	0	0	0	52	0	0
0	1578974850079825	2061	28	0	0	0	28	0	0
0	1578974850079967	2061	35	0	0	0	35	0	0
0	1578974850080110	2061	24	0	0	0	24	0	0
0	1578974850080251	2062	16	0	0	0	16	0	0
0	1578974850080392	2062	16	0	0	0	16	0	0
0	1578974850080534	2062	22	0	0	0	22	0	0
0	1578974850080676	2060	23	0	0	0	23	0	0
1	1578974850080821	2098	2072	0	0	0	2068	0	0
1	1578974850081002	2066	318	0	0	0	318	0	0
1	1578974850081147	2061	54	0	0	0	54	0	0
1	1578974850081290	2062	18	0	0	0	18	0	0
1	1578974850081431	2062	29	0	0	0	29	0	0
1	1578974850081574	2061	20	0	0	0	20	0	0
1	1578974850081715	2060	26	0	0	0	26	0	0
1	1578974850081857	2060	25	0	0	0	25	0	0
1	1578974850081998	2061	24	0	0	0	24	0	0
1	1578974850082140	2060	30	0	0	0	30	0	0
