TID	L2_REFS	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L2_PF_HITS	L2_PF_MISSES
0	3818	2076	1631	394	417	416	96	1672
0	3806	2068	1632	394	416	411	96	1670
0	3922	2064	1768	261	280	270	78	1801
0	4054	2069	1929	108	119	116	47	1959
0	4080	2068	1959	75	89	88	42	1991
0	3947	2068	1799	229	249	237	71	1837
0	4016	2067	1880	152	168	163	57	1914
0	4030	2067	1895	141	153	147	55	1923
0	4132	2094	1978	56	70	76	40	2029
0	3018	245	161	83	83	84	20	161
1	3841	2083	1647	396	401	414	96	1671
1	3722	878	642	225	225	227	66	651
1	3906	2072	1745	284	303	291	78	1786
1	4105	2067	1993	42	55	50	34	2025
1	4045	2067	1918	119	130	129	48	1948
1	4116	2067	2006	34	42	42	32	2033
1	4063	2067	1941	97	107	104	44	1970
1	4118	2067	2004	34	44	41	32	2033
1	4071	2067	1951	86	97	95	42	1981
1	4116	2067	2006	34	42	39	32	2033
