TID	L2_REFS	L2_MISSES	L2_DD_HITS	L2_DD_MISSES	L2_RFO_HITS	L2_RFO_MISSES	L3_REFS	L3_MISSES
0	3802	2081	8	11	1615	394	429	0
0	3806	2074	13	5	1622	396	419	0
0	3821	2081	8	8	1627	396	427	0
0	3793	2072	5	6	1621	396	420	0
0	3955	2068	5	2	1811	219	235	0
0	3905	2069	6	3	1751	273	291	0
0	4049	2067	6	2	1925	108	121	0
0	3975	2064	6	1	1841	185	199	0
0	3970	2098	11	16	1790	238	266	0
0	2995	172	9	4	117	51	55	0
1	3837	2093	5	17	1651	396	415	4
1	3676	603	6	1	404	186	187	0
1	3914	2069	8	2	1763	262	276	0
1	4020	2067	13	0	1882	152	159	0
1	3839	2083	18	6	1627	396	414	0
1	3804	2067	8	1	1628	396	409	0
1	4017	2067	8	0	1886	152	156	0
1	3956	2067	14	0	1803	229	234	0
1	3986	2067	14	0	1839	196	200	0
1	4070	2067	14	0	1941	97	101	0
