TID	L2_REFS	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L3_MISSES
0	3807	2080	1624	394	424	416	0
0	3806	2062	1631	390	417	399	0
0	3929	2066	1776	252	272	262	0
0	4125	2066	2012	34	36	36	0
0	4117	2061	2009	32	38	37	0
0	4102	2061	1990	51	57	56	0
0	4066	2066	1940	97	108	105	0
0	4110	2066	1996	42	52	51	0
0	4132	2092	1970	68	78	85	0
0	2953	169	119	53	53	53	0
1	3843	2088	1651	396	397	416	2
1	3690	543	336	204	204	204	0
1	3869	2067	1708	317	340	326	0
1	4082	2067	1963	75	85	82	0
1	4121	2067	2011	34	37	37	0
1	4120	2067	2010	34	38	36	0
1	4071	2067	1951	86	97	93	0
1	4114	2067	2005	34	43	40	0
1	4100	2067	1988	53	60	56	0
1	4051	2067	1929	108	119	115	0
