TID	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L2_IN_E	L2_IN_S	L2_IN_I
0	2078	1627	394	421	425	2068	12	0
0	2073	1616	406	432	432	2061	13	0
0	2068	1622	396	426	413	2068	4	0
0	2066	1720	306	328	318	2066	1	0
0	2067	1941	97	107	106	2067	0	0
0	2066	1997	43	51	48	2066	0	0
0	2066	1902	130	146	138	2066	0	0
0	2067	1930	108	118	117	2066	1	0
0	2103	2004	34	44	54	2075	30	0
0	125	44	80	80	81	124	1	0
1	2084	1650	396	398	416	2070	15	0
1	689	475	206	206	209	686	3	0
1	2067	1799	229	249	240	2067	0	0
1	2077	1729	300	319	320	2070	9	0
1	2068	1630	396	418	409	2068	2	0
1	2067	1806	229	242	236	2067	1	0
1	2067	1859	174	189	185	2067	1	0
1	2067	1893	141	155	151	2067	1	0
1	2067	1929	108	119	115	2067	1	0
1	2067	1985	53	63	62	2067	1	0
