TID	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L2_IN_E	L2_IN_S	L2_IN_I
0	2060	0	2048	2048	2054	2048	4	0
0	2049	0	2048	2048	2049	2048	1	0
0	2048	0	2048	2048	2048	2048	0	0
0	2048	0	2048	2048	2048	2048	0	0
0	2048	0	2048	2048	2048	2048	0	0
0	2048	0	2048	2048	2048	2048	0	0
0	2048	0	2048	2048	2048	2048	0	0
0	2054	0	2048	2048	2055	2051	4	0
0	2060	0	2048	2048	2060	2049	11	0
0	148	0	145	145	148	146	2	0
1	2064	0	2048	2048	2063	2051	11	0
1	578	0	576	576	578	578	0	0
1	2048	0	2048	2048	2048	2048	0	0
1	2048	0	2048	2048	2048	2048	0	0
1	2048	0	2048	2048	2048	2048	0	0
1	2048	0	2048	2048	2048	2048	0	0
1	2048	0	2048	2048	2048	2048	0	0
1	2048	0	2048	2048	2048	2048	0	0
1	2055	0	2048	2048	2056	2051	5	0
1	2049	0	2048	2048	2050	2050	0	0
