TID	L2_REFS	L2_MISSES	L2_DD_HITS	L2_DD_MISSES	L2_RFO_HITS	L2_RFO_MISSES	L3_REFS	L2_ALL_RFO
0	3808	2072	2072	10	1617	394	430	2011
0	3792	2057	2057	1	1614	396	427	2010
0	3192	979	979	0	745	208	221	2034
0	3965	1099	1099	0	1073	17	23	2030
0	3967	2048	2048	0	1825	206	217	2031
0	4120	2051	2051	1	2008	34	40	2042
0	4101	2049	2049	0	1986	54	59	2040
0	3864	1600	1600	0	1343	225	247	2034
0	3296	473	473	0	462	10	10	2007
0	4120	2056	2056	0	1998	41	48	2039
1	2079	2064	2064	16	0	2048	2064	2048
1	2045	458	458	0	0	458	458	2040
1	2060	2051	2051	3	0	2048	2051	2048
1	2069	2057	2057	0	0	2057	2057	2057
1	2060	2050	2050	2	0	2048	2050	2049
1	2060	2048	2048	0	0	2048	2048	2048
1	2060	2048	2048	0	0	2048	2048	2048
1	2072	2064	2064	0	0	2064	2064	2064
1	2060	2050	2050	2	0	2048	2050	2048
1	2084	2060	2060	12	0	2048	2060	2049
