TID	L2_REFS	L2_MISSES	L2_RFO_HITS	L2_RFO_MISSES	OFFCORE_RFO	L3_REFS	L3_MISSES
0	2074	2063	0	2048	2048	2060	0
0	2063	2049	0	2048	2048	2049	0
0	2060	2049	0	2048	2048	2049	0
0	2059	2048	0	2048	2048	2048	0
0	2059	2048	0	2048	2048	2048	0
0	2059	2049	0	2048	2048	2049	0
0	2057	2049	0	2048	2048	2049	0
0	2057	2049	0	2048	2048	2049	0
0	2082	2055	0	2048	2048	2055	0
0	2057	206	0	203	203	206	0
1	2078	2073	0	2048	2048	2070	0
1	2072	931	0	926	926	931	0
1	2061	2048	0	2048	2048	2048	0
1	2060	2048	0	2048	2048	2048	0
1	2059	2048	0	2048	2048	2048	0
1	2059	2048	0	2048	2048	2048	0
1	2059	2048	0	2048	2048	2048	0
1	2059	2048	0	2048	2048	2048	0
1	2059	2048	0	2048	2048	2048	0
1	2061	2048	0	2048	2048	2048	0
